,place,properties,finishing_level,area,bathrooms,bedrooms,price
190,"Maadi,Maadi Degla",Apartments,Furnished ,180 Sqm,3 Bathrooms,3 Bedrooms,"2,800,000 Egp"
191,"New Cairo,Dyar",Villas,Semi Finished,800 Sqm,4 Bathrooms,4 Bedrooms,"10,000,000 Egp"
192,"New Cairo,Dyar",Villas,Semi Furnished,800 Sqm,4 Bathrooms,4 Bedrooms,"10,000,000 Egp"
193,"Maadi,Maadi Sarayat",Villas,Unfurnished ,600 Sqm,4 Bathrooms,5 Bedrooms,"18,000,000 Egp"
194,"Maadi,Maadi Degla",Villas,Unfurnished ,1000 Sqm,5 Bathrooms,6 Bedrooms,"30,000,000 Egp"
195,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,360 Sqm,5 Bathrooms,3 Bedrooms,"6,000,000 Egp"
196,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,200 Sqm,2 Bathrooms,3 Bedrooms,"3,000,000 Egp"
197,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,180 Sqm,2 Bathrooms,2 Bedrooms,"2,300,000 Egp"
198,"Maadi,Maadi Sarayat",Duplexes,Unfurnished ,360 Sqm,4 Bathrooms,4 Bedrooms,"4,250,000 Egp"
199,"Maadi,Maadi Sarayat",Apartments,Furnished ,192 Sqm,3 Bathrooms,3 Bedrooms,"3,240,000 Egp"
200,"Maadi,Maadi Degla",Apartments,Unfurnished ,275 Sqm,3 Bathrooms,4 Bedrooms,"2,500,000 Egp"
201,"Maadi,Maadi Degla",Apartments,Unfurnished ,250 Sqm,3 Bathrooms,3 Bedrooms,"3,750,000 Egp"
202,"Maadi,Maadi Degla",Apartments,Unfurnished ,300 Sqm,4 Bathrooms,4 Bedrooms,"4,250,000 Egp"
203,"Maadi,Maadi Degla",Apartments,Unfurnished ,160 Sqm,2 Bathrooms,3 Bedrooms,"1,500,000 Egp"
204,"Maadi,Maadi Degla",Apartments,Unfurnished ,160 Sqm,2 Bathrooms,3 Bedrooms,"1,700,000 Egp"
205,"Maadi,Maadi Degla",Ground Floors,Modern Furnished,300 Sqm,3 Bathrooms,3 Bedrooms,"5,500,000 Egp"
206,"Maadi,Maadi Cornishe",Apartments,Unfurnished ,145 Sqm,2 Bathrooms,3 Bedrooms,"1,300,000 Egp"
207,"Maadi,Maadi Degla",Apartments,Semi Furnished,400 Sqm,3 Bathrooms,4 Bedrooms,"4,500,000 Egp"
208,"New Cairo,90 Street",Apartments,Unfurnished ,185 Sqm,2 Bathrooms,3 Bedrooms,"1,650,000 Egp"
209,"Maadi,Maadi Zahraa",Apartments,Unfurnished ,120 Sqm,1 Bathrooms,2 Bedrooms,"850,000 Egp"
210,"Maadi,Maadi Degla",Apartments,Semi Furnished,176 Sqm,2 Bathrooms,3 Bedrooms,"2,600,000 Egp"
211,"Maadi,Maadi Sarayat",Penthouses,Modern Furnished,280 Sqm,3 Bathrooms,3 Bedrooms,"4,000,000 Egp"
212,"Katameya,Katameya Heights",Villas,Semi Furnished,750 Sqm,5 Bathrooms,5 Bedrooms,"27,000,000 Egp"
213,"Maadi,Maadi Sarayat",Apartments,Unfurnished ,185 Sqm,2 Bathrooms,2 Bedrooms,"2,100,000 Egp"
214,"Maadi,Maadi Sarayat",Apartments,Modern Furnished,240 Sqm,2 Bathrooms,3 Bedrooms,"3,500,000 Egp"
215,"Maadi,Maadi Degla",Apartments,Furnished ,201 Sqm,3 Bathrooms,3 Bedrooms,"2,700,000 Egp"
216,"New Cairo,90 Street",Villas,Unfurnished ,1700 Sqm,0 Bathrooms,0 Bedrooms,"19,000,000 Egp"
